periode,sales,forecast_sales,lower_ci,upper_ci,mape,type
2014-01-01,14236.895,,,,24.518885958503837,actual
2014-02-01,4519.892,,,,24.518885958503837,actual
2014-03-01,55691.009,,,,24.518885958503837,actual
2014-04-01,28295.344999999998,,,,24.518885958503837,actual
2014-05-01,23648.287,,,,24.518885958503837,actual
2014-06-01,34595.1276,,,,24.518885958503837,actual
2014-07-01,33946.393,,,,24.518885958503837,actual
2014-08-01,27909.4685,,,,24.518885958503837,actual
2014-09-01,81777.3508,,,,24.518885958503837,actual
2014-10-01,31453.393000000004,,,,24.518885958503837,actual
2014-11-01,78628.7167,,,,24.518885958503837,actual
2014-12-01,69545.6205,,,,24.518885958503837,actual
2015-01-01,18174.0756,,,,24.518885958503837,actual
2015-02-01,11951.411,,,,24.518885958503837,actual
2015-03-01,38726.252,,,,24.518885958503837,actual
2015-04-01,34195.2085,,,,24.518885958503837,actual
2015-05-01,30131.6865,,,,24.518885958503837,actual
2015-06-01,24797.292,,,,24.518885958503837,actual
2015-07-01,28765.325,,,,24.518885958503837,actual
2015-08-01,36898.3322,,,,24.518885958503837,actual
2015-09-01,64595.918,,,,24.518885958503837,actual
2015-10-01,31404.9235,,,,24.518885958503837,actual
2015-11-01,75972.5635,,,,24.518885958503837,actual
2015-12-01,74919.5212,,,,24.518885958503837,actual
2016-01-01,18542.491,,,,24.518885958503837,actual
2016-02-01,22978.815,,,,24.518885958503837,actual
2016-03-01,51715.875,,,,24.518885958503837,actual
2016-04-01,38750.039000000004,,,,24.518885958503837,actual
2016-05-01,56987.727999999996,,,,24.518885958503837,actual
2016-06-01,40344.534,,,,24.518885958503837,actual
2016-07-01,39261.963,,,,24.518885958503837,actual
2016-08-01,31115.3743,,,,24.518885958503837,actual
2016-09-01,73410.0249,,,,24.518885958503837,actual
2016-10-01,59687.745,,,,24.518885958503837,actual
2016-11-01,79411.9658,,,,24.518885958503837,actual
2016-12-01,96999.043,,,,24.518885958503837,actual
2017-01-01,43971.373999999996,,,,24.518885958503837,actual
2017-02-01,20301.133400000002,,,,24.518885958503837,actual
2017-03-01,58872.3528,,,,24.518885958503837,actual
2017-04-01,36521.5361,,,,24.518885958503837,actual
2017-05-01,44261.1102,,,,24.518885958503837,actual
2017-06-01,52981.7257,,,,24.518885958503837,actual
2017-07-01,45264.416,,,,24.518885958503837,actual
2017-08-01,63120.888,,,,24.518885958503837,actual
2017-09-01,87866.652,,,,24.518885958503837,actual
2017-10-01,77776.9232,,,,24.518885958503837,actual
2017-11-01,118447.825,,,,24.518885958503837,actual
2017-12-01,83829.3188,,,,24.518885958503837,actual
2018-01-01,,47170.23050856643,21777.60835732381,72562.85265980904,24.518885958503837,forecast
2018-02-01,,14279.4464826181,-11104.17641410619,39663.069379342385,24.518885958503837,forecast
2018-03-01,,37681.219550064816,12297.596653340526,63064.8424467891,24.518885958503837,forecast
2018-04-01,,27705.949131289217,2322.3262345649273,53089.57202801351,24.518885958503837,forecast
2018-05-01,,24464.75581033135,-918.8670863929401,49848.37870705564,24.518885958503837,forecast
2018-06-01,,37166.250660112535,11782.627763388246,62549.87355683683,24.518885958503837,forecast
2018-07-01,,31844.06972826439,6460.446831540099,57227.692624988675,24.518885958503837,forecast
2018-08-01,,63791.54043167135,38407.91753494706,89175.16332839563,24.518885958503837,forecast
2018-09-01,,63120.03183473964,37736.408938015345,88503.65473146393,24.518885958503837,forecast
2018-10-01,,58186.24406495257,32802.621168228274,83569.86696167686,24.518885958503837,forecast
2018-11-01,,101587.2664987455,76203.64360202121,126970.8893954698,24.518885958503837,forecast
2018-12-01,,54894.93570833941,29511.312811615124,80278.5586050637,24.518885958503837,forecast
